trade_date,total_pnl,avg_pnl,pnl_std,total_trades,unique_traders,daily_volume,total_fees,success_rate,avg_trade_size,timestamp,value,classification,date,sentiment_date,sentiment_category,sentiment_numeric
2023-03-28,0.0,0.0,0.0,3,1,477.0,0.0,0.0,159.0,1679981400,59,Greed,2023-03-28,2023-03-28,Greed,1.0
2023-11-14,155.50335699999994,0.1488070401913875,105.09211259633247,1045,2,11555429.76,2794.570654,0.27464114832535885,11057.8275215311,1699939800,69,Greed,2023-11-14,2023-11-14,Greed,1.0
2024-03-09,176965.491774,25.418772159436944,306.1669373872389,6962,5,39406770.25,6812.781233,0.49008905486929044,5660.265764148233,1709962200,84,Extreme Greed,2024-03-09,2024-03-09,Greed,1.0
2024-07-03,158742.378078,22.229712656210616,633.7048150995175,7141,8,21843234.35,8743.87748638,0.3171824674415348,3058.8481095084726,1719984600,50,Neutral,2024-07-03,2024-07-03,Neutral,0.5
2024-10-27,3189461.032019,90.50427150248291,1165.0525484112816,35241,29,103947765.09,21539.46273461,0.4516046650208564,2949.6258644760364,1730007000,74,Greed,2024-10-27,2024-10-27,Greed,1.0
2025-02-19,6699925.190574,50.047621894017375,909.121795680177,133871,32,704158492.98,145018.0436178108,0.41514592406122314,5259.977836723413,1739943000,44,Fear,2025-02-19,2025-02-19,Fear,0.0
